,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
E02,MOVIMIENTO DE TIERRAS / TERRACERÍAS,,
E0201,EXCAVACIONES,,
UEC.ED.12.105.1020,"Excavación manual en zanja, en material tipo B de 0 a 2 m de profundidad. Incluye: extracción de material a pie en zanja, afinamiento de taludes y sobre excavaciones por procedimiento.",m3,147.64
E0202,AFINES Y COMPACTACIONES,,
UEC.ED.12.135.1010,"Compactación de terreno natural al 90% de su P.V.S.M., por medios semi-mecánicos, incluye: incorporación de agua.",m2,553.90
E0203,CARGAS Y ACARREOS,,
UEC.ED.14.115.1060,"Acarreo en carretilla de material producto de excavación a una distancia máxima de 100 m. Incluye: carga, transporte y descarga.",m3,14.76
UEC.ED.14.120.1070,"Acarreo en camión de material producto de excavación al 1er km. Incluye: carga con equipo, transporte y descarga.",m3,191.93
UEC.ED.14.135.1060,Acarreo en camión de material producto de excavación en los kilómetros subsecuentes al 1ro. Incluye: transporte y descarga.,m3-km,959.65
E0204,RELLENOS,,
UEC.ED.12.125.1221,"Relleno semi-mecánico en caja con material inerte, compactado al 90% de su PVSM en capas de 20 cm. Incluye: abundamiento, acarreo de material e incorporación de agua para compactar.",m3,553.90
E03,ALBAÑILERIA/CONSTRUCTIVO,,
E0301,GUARNICIONES Y BANQUETAS,,
UEC.UB.10.105.1013,"Banqueta de 8 cm de espesor construida de concreto premezclado f`c = 200 kg/cm2, tma = 19 mm, RN, acabado escobillado, armada con malla electrosoldada 6 x 6 / 10-10 y juntas de dilatación @ 2 m en ambos sentidos. Incluye: cimbras en fronteras, armado, colado, vibrado, curado, retiro de cimbra y limpieza. N-CTR-CAR-1-02-010-00.",m2,553.90
UEC.UB.10.150.1020,"Corte con disco de 1 a 3 cm de profundidad en pavimento de concreto hidráulico. Incluye: trazo, guía y limpieza.",m,861.70
UEC.UB.10.160.1010,"Junta en concreto con cinta de respaldo a base de espuma de polietileno, de primera calidad, de 10 mm de diámetro. Incluye: preparación de la superficie, dimensionamiento, cortes, fijación y limpieza.",m,861.70
UEC.UB.10.160.1050,"Sellado de juntas a base de sellador de poliuretano de alto desempeño, autonivelante, de un solo componente, de primera calidad. Incluye: preparación de la superficie y limpieza.",cm3,"51,710.00"
E04,ACABADOS,,
E0401,LIMPIEZAS,,
UEC.ED.100.115.1015,"Limpieza para entrega final de obra, al banco autorizado que elija el contratista. Incluye: retiro de material. N-CTR-CAR-1-01-013/00.",m2,553.90
F,SEÑALAMIENTO,,
F01,ACABADOS,,
F0101,SEÑALETICA,,
UEC.UB.15.110.1030,"Señal restrictiva (SR-37) de 20 x 61 cm, a base de lamina galvanizada calibre 16 con fondo color negro mate y flecha que indica el sentido en color blanco reflejante grado ingeniería, sobre poste a una altura libre de 2.50 m. Incluye: presentación, elementos para su fijación y limpieza. N·CTR·CAR·1·07·005/00.",Pieza,11.00
UEC.UB.15.110.1105,"Señal informativa de identificación (SII-6) de 20 x 91 cm, a base de lamina galvanizada calibre 16 con fondo amarillo reflejante grado ingeniería y texto en vinil opaco. Incluye: excavación, poste de PTR de 2"" x 2"" calibre 14, 2.50 m altura libre, ahogado en muerto de concreto de f´c=150 kg/cm2 con una profundidad de 80 cm y un diámetro de 40 cm mínimo, presentación, elementos para su fijación y limpieza. N·CTR·CAR·1·07·005/00.",Pieza,11.00
UEC.UB.15.110.1010,"Señal restrictiva (SR-6) de 30 cm por lado, a base de lamina galvanizada calibre 16 con fondo rojo reflejante grado ingeniería y texto en vinil opaco. Incluye: excavación, poste de PTR de 2"" x 2"" calibre 14, 2.50 m altura libre, ahogado en muerto de concreto de f´c=150 kg/cm2 con una profundidad de 80 cm y un diámetro de 40 cm mínimo, presentación, elementos para su fijación y limpieza. N·CTR·CAR·1·07·005/00.",Pieza,7.00
UEC.UB.15.110.1020,"Señal restrictiva (SR) de 61 x 61 cm, a base de lamina galvanizada calibre 16 con fondo blanco reflejante grado ingeniería, texto y símbolos en vinil opaco. Incluye: excavación, poste de PTR de 2"" x 2"" calibre 14, 2.50 m altura libre, ahogado en muerto de concreto de f´c=150 kg/cm2 con una profundidad de 80 cm y un diámetro de 40 cm mínimo, presentación, elementos para su fijación y limpieza. N·CTR·CAR·1·07·005/00.",Pieza,2.00
UEC.UB.15.110.1025,"Tablero adicional para señal restrictiva (SR) de 25 x 61 cm, a base de lamina galvanizada calibre 16 con fondo blanco reflejante grado ingeniería, texto en vinil opaco, sobre poste a una altura libre de 2.50 m. Incluye: presentación, elementos para su fijación y limpieza. N·CTR·CAR·1·07·005/00.",Pieza,2.00
UEC.UB.15.110.1050,"Señal preventiva (SP) de 61 x 61 cm, a base de lamina galvanizada calibre 16 con fondo amarillo reflejante grado ingeniería, símbolos y texto en vinil opaco. Incluye: excavación, poste de PTR de 2"" x 2"" calibre 14, 2.50 m altura libre, ahogado en muerto de concreto de f´c=150 kg/cm2 con una profundidad de 80 cm y un diámetro de 40 cm mínimo, presentación, elementos para su fijación y limpieza. N·CTR·CAR·1·07·005/00.",Pieza,4.00
UEC.UB.15.110.1055,"Tablero adicional para señal preventiva (SP) de 25 x 61 cm, a base de lamina galvanizada calibre 16 con fondo amarillo reflejante grado ingeniería, texto en vinil opaco, sobre poste a una altura libre de 2.50 m. Incluye: presentación, elementos para su fijación y limpieza. N·CTR·CAR·1·07·005/00.",Pieza,4.00
UEC.UB.15.105.1010,"Pintura para trafico base solvente de primera calidad, en color blanco o amarillo, sobre pavimento. Incluye: preparación de la superficie, dilución, aplicación a dos manos hasta cubrir perfectamente la superficie y limpieza. N·CTR·CAR·1·07·001/00.",m2,57.65
UEC.UB.15.105.1020,"Pintura para trafico base solvente de primera calidad, en color blanco o amarillo, sobre guarnición y banquetas. Incluye: preparación de la superficie, dilución, aplicación a dos manos hasta cubrir perfectamente la superficie y limpieza. N·CTR·CAR·1·07·002/00.",m2,36.30
UEC.IV.18.105.1015,"Botón DH-1 (vialeta) retrorreflejante y delimitadores sobre el pavimento, de forma trapecial, plástico, bidireccional, color amarillo y con esferas de cristal en tres líneas, por unidad de obra terminada.N.CTR.CAR.1.07.004/02.",Pieza,28.00
"NOTA: Los códigos identificados de manera diferente a los del tabulador, corresponden a conceptos de equipamientos o acabados que presentan variabilidad en sus modelos de manera constante, por lo que se consideran atípicos y no forman parte del mismo.",,,
