,,,
CLAVE,CONCEPTO,UNIDAD,CANTIDAD
UEC.ED.46.285.1015,"Registro eléctrico prefabricado de concreto polimérico con tapa de 40 x 40 x 60 cm, para alumbrado, marca CENMEX o similar en calidad, costo y garantía. Incluye: trazo, nivelación, excavación, relleno, compactación, acarreo fuera de obra de material sobrante y limpieza.",Pieza,21.00
UEC.UB.50.150.1355,"Cable para distribución subterránea XLP-DRS, con conductores de aluminio duro (2+1), calibre No 6 AWG, aislamiento de polietileno de cadena cruzada XLP, 90 °C, 600 V, a cualquier altura. Incluye: identificación, dimensionamiento, instalación en canalización, cortes, amarres, empalmes, pruebas de operación, de acuerdo a Norma CFE E1000-02.",m,246.00
ESPUB.50.URB.1005,"Empalme de compresión de cobre, para calibre no 6 AWG, barril corto, estañado, a cualquier altura. Incluye: presentación, fijación y limpieza.",Pieza,63.00
ESPUB.50.URB.1006,"Termocontráctil de 3/4"" de diámetro para sellado de conexiones, a cualquier altura. Incluye: dimensionamiento, cortes, presentación, fijación y limpieza.",Pieza,63.00
UEC.ED.43.110.1025,"Tubo poliducto liso de 32 mm diámetro comercial, 35 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,246.00
UEC.ED.46.255.1010,"Varilla de tierra de 3.05 m de longitud, de 5/8"" de diámetro, marca COPPER WELD o similar en calidad, costo y garantía. Incluye: enterrado y conexión a cable de tierra.",Pieza,6.00
ESPUB.50.URB.1007,"Combinación de alumbrado, de 2 polos, capacidad de 40 A y tensión maxima de 240 V. Incluye: presentación, fijación, nivelación, conexiones, arranque y pruebas.",Pieza,1.00
UEC.ED.46.225.1060,"Centro de carga tipo QO, con zapatas principales, con 2 espacios, 40A, 1F-3H, NEMA-3R, catalogo QO2L40RB, marca SQUARE D  o similar en calidad, costo y garantía. Incluye: Trazo, montaje, ensamblado, etiquetado, peinado de cables, arranque y pruebas.",Pieza,1.00
ESPUB.56.URB.1003,"Fotocontactor de alumbrado público monofásico, 127 V - 30 A, especificaciones de acuerdo a proyecto. Incluye: presentación y fijación.",Pieza,1.00
ESPUB.50.URB.1008,"Interruptor astronómico digital, especificación de acuerdo a proyecto. Incluye: presentación, fijación en gabinete, puesta en marcha y limpieza.",Pieza,1.00
UEC.ED.43.130.1115,"Codo de acero galvanizado de pared gruesa de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: presentación y fijación a tubería u otras conexiones.",Pieza,2.00
UEC.ED.46.150.1125,"Mufa seca para acometida, de aluminio fundido, para tubo de 32 mm diámetro comercial, 35 mm SEDE, a cualquier altura. Incluye: Fijación a tubo.",Pieza,1.00
UEC.ED.43.130.1025,"Tubo conduit de acero galvanizado de pared gruesa de 32 mm diámetro comercial, 35 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,3.00
UEC.ED.46.250.1015,"Base para medidor monofásico (wathorimetro) con gabinete de lámina de acero rolada en frío, con portacandado; con capacidad para 100 Amperes y con 5 mordazas, catálogo MS1005J, marca SQUARE D o similar en calidad, costo y garantía, a cualquier altura. Incluye: Trazo, montaje y conexiones.",Pieza,1.00
UEC.ED.43.125.1010,"Tubo conduit de acero galvanizado de pared delgada de 13 mm diámetro comercial, 16 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,3.00
UEC.ED.43.125.1205,"Conector recto con tornillo de fijación, de acero galvanizado para tubería conduit pared delgada, de 13 mm diámetro comercial, 16 mm SEDE, a cualquier altura. Incluye: presentación y fijación a tubería u otras conexiones.",Pieza,1.00
UEC.ED.46.255.1080,"Conector para varilla de cobre de 16 mm, a cualquier altura. Incluye: sujeción y conexión a cable de tierra.",Pieza,1.00
UEC.UB.50.230.1730,"Fleje a base de lámina de acero inoxidable, de 16 mm de ancho, designación 316 de acuerdo con la norma NMX-B-083, a cualquier altura. Incluye: dimensionamiento, cortes y fijación, de acuerdo a Norma CFE 2G000-97.",m,3.00
UEC.UB.50.230.1740,"Grapa a base de lámina de acero inoxidable, para fleje de 16 mm de ancho, designación 316 de acuerdo con la norma NMX-B-083, a cualquier altura. Incluye: presentación, montaje y fijación, de acuerdo a Norma CFE 2G000-97.",Pieza,6.00
UEC.ED.46.249.1050,"Gabinete metálico de 25 x 20 x 15 cm, pintada exterior e interiormente con resina de epoxi-poliéster color gris, grado de protección IP66, puerta y chapa de seguridad. Incluye: elevaciones, fijación, perforaciones requeridas, presentación, colocación y elementos de fijación.",Pieza,1.00
UEC.ED.43.135.1020,"Tubería conduit flexible de acero engargolado a prueba de líquidos, tipo liquid tight de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: trazo, dimensionamiento, cortes, limpieza y guía de alambre recuperable.",m,2.50
UEC.ED.43.135.1120,"Conector recto para tubo liquid tight de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: presentación y  fijación a tubo u otras conexiones.",Pieza,4.00
UEC.ED.43.135.1220,"Conector curvo para tubo liquid tight de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: presentación y  fijación a tubo u otras conexiones.",Pieza,2.00
UEC.ED.43.130.1215,"Contra y monitor de acero galvanizado de pared gruesa de 25 mm diámetro comercial, 27 mm SEDE, a cualquier altura. Incluye: presentación y fijación a tubería u otras conexiones.",Pieza,8.00
UEC.UB.50.120.1030,"Poste de concreto reforzado PCR-9-400, de 9 metros de longitud, carga de prueba de 400 kg. Incluye: presentación, parado, plomeo y limpieza, de acuerdo a Norma CFE J6200-03 y DCCIAMBT.",Pieza,1.00
UEC.UB.50.230.1320,"Cruceta PR 200 fabricada en perfil tubular, con placa refuerzo y dado de solera, 2000 mm de longitud y acabado galvanizado por inmersión en caliente, a cualquier altura. Incluye: presentación, montaje y fijación, de acuerdo a Norma CFE 2C900-93 y DCCIAMBT.",Pieza,2.00
UEC.UB.50.230.1045,"Abrazadera UL  a base de redondo de acero de 15.88 mm con puntas redondeadas, acabado galvanizado por inmersión en caliente, a cualquier altura. Incluye: 2 tuercas hexagonales, 2 arandelas de presión, presentación, montaje y fijación, de acuerdo a Norma CFE 2A100-05 y DCCIAMBT.",Pieza,2.00
UEC.UB.50.150.1115,"Cable neutranel con conductores de aluminio AAC-AAC (2+1), calibre No 6 AWG, con aislamiento de polietileno de alta densidad, para distribución aérea, 75 °C, 600 V, a cualquier altura. Incluye: identificación, dimensionamiento, tendido aéreo, cortes, amarres y empalmes, de acuerdo a Norma CFE E0000-09.",m,95.45
"NOTA: Los códigos identificados de manera diferente a los del Tabulador UEC, corresponden a conceptos de equipamientos o acabados que presentan variabilidad en sus modelos de manera constante, por lo que se consideran atípicos y no forman parte del mismo.",,,
